ts_lamport;ts_epoch_ms;nodo;tipo;detalle
909;1782096155949;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
917;1782096155954;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
915;1782096155954;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
923;1782096155959;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
925;1782096155959;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
934;1782096155964;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
935;1782096155965;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
942;1782096155969;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
944;1782096155969;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
948;1782096155973;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
950;1782096155973;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
959;1782096155976;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
960;1782096155977;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
966;1782096155981;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
968;1782096155981;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
974;1782096155990;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
976;1782096155991;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
984;1782096156000;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
986;1782096156003;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
992;1782096156005;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
990;1782096156005;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1000;1782096156010;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1001;1782096156011;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1007;1782096156017;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1009;1782096156024;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
