ts_lamport;ts_epoch_ms;nodo;tipo;detalle
68466;1782096177659;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68468;1782096177659;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68472;1782096177662;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68474;1782096177662;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68480;1782096177665;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68482;1782096177665;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68491;1782096177668;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68492;1782096177668;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68500;1782096177671;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68502;1782096177671;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68508;1782096177675;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68509;1782096177675;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68516;1782096177679;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68518;1782096177679;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68524;1782096177682;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68525;1782096177682;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68533;1782096177684;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68534;1782096177684;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68539;1782096177690;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68541;1782096177690;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68547;1782096177693;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68549;1782096177693;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68557;1782096177697;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68559;1782096177697;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68566;1782096177699;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68567;1782096177699;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68575;1782096177702;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68577;1782096177702;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68581;1782096177707;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68583;1782096177707;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68591;1782096177710;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68592;1782096177710;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68600;1782096177713;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68601;1782096177713;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68606;1782096177717;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68608;1782096177718;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68617;1782096177720;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68618;1782096177720;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68623;1782096177724;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68625;1782096177724;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68634;1782096177726;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68636;1782096177727;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68642;1782096177730;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68640;1782096177730;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68650;1782096177733;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68652;1782096177733;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68658;1782096177737;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68659;1782096177737;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68667;1782096177740;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68669;1782096177740;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68673;1782096177743;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68675;1782096177743;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68682;1782096177746;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68684;1782096177746;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
