ts_ms;latencia_ms;exito
1782096192804;0;1
1782096192862;58;1
1782096192928;65;1
1782096192991;64;1
1782096193058;66;1
1782096193059;0;1
1782096193473;414;1
1782096193542;68;1
1782096193610;68;1
1782096193683;73;1
1782096193684;0;1
1782096193752;67;1
1782096193819;66;1
1782096193885;66;1
1782096193961;75;1
1782096193962;0;1
1782096194028;66;1
1782096194379;350;1
1782096194448;68;1
1782096194526;77;1
1782096194526;0;1
1782096194598;72;1
1782096194682;83;1
1782096194757;75;1
1782096194835;76;1
1782096194835;0;1
1782096194908;73;1
1782096195005;96;1
1782096195125;119;1
1782096195200;74;1
1782096195201;1;1
1782096195280;78;1
1782096195360;78;1
1782096195439;79;1
1782096195526;86;1
1782096195526;0;1
1782096195605;78;1
1782096195686;80;1
1782096195768;82;1
1782096195856;87;1
1782096195857;1;1
1782096195939;82;1
1782096196026;86;1
1782096196149;123;1
1782096196240;90;1
1782096196241;0;1
1782096196318;77;1
1782096196399;81;1
1782096196480;81;1
1782096196572;91;1
1782096196573;1;1
1782096196655;82;1
1782096196738;82;1
1782096196822;84;1
1782096196910;87;1
1782096196911;0;1
1782096196997;85;1
1782096197088;91;1
1782096197219;131;1
1782096197312;92;1
1782096197312;0;1
1782096197396;82;1
1782096197478;81;1
1782096197566;88;1
1782096197656;90;1
1782096197657;0;1
1782096197742;85;1
1782096197829;86;1
1782096197918;88;1
1782096198012;94;1
1782096198013;1;1
1782096198156;142;1
1782096198240;84;1
1782096198328;87;1
1782096198425;96;1
1782096198425;0;1
1782096198516;90;1
1782096198613;96;1
1782096198704;91;1
1782096198801;96;1
1782096198803;1;1
1782096198895;92;1
1782096198990;94;1
1782096199089;98;1
1782096199245;156;1
1782096199246;1;1
1782096199343;96;1
1782096199444;101;1
1782096199539;94;1
1782096199643;104;1
1782096199644;1;1
1782096199741;96;1
1782096199847;106;1
1782096199962;114;1
1782096200084;121;1
1782096200084;1;1
1782096200247;162;1
1782096200341;93;1
1782096200449;108;1
1782096200566;117;1
1782096200567;1;1
1782096200671;103;1
1782096200768;97;1
1782096200892;124;1
1782096201011;117;1
1782096201012;1;1
1782096201180;168;1
1782096201286;105;1
1782096201400;113;1
1782096201515;115;1
1782096201517;1;1
1782096201647;130;1
1782096201762;114;1
1782096201869;107;1
1782096201989;119;1
1782096201990;1;1
1782096202170;179;1
1782096202270;100;1
1782096202372;103;1
1782096202486;113;1
1782096202488;1;1
1782096202600;111;1
1782096202716;115;1
1782096202825;108;1
1782096202944;118;1
1782096202946;1;1
1782096203051;105;1
1782096203228;177;1
1782096203332;104;1
1782096203449;116;1
1782096203451;1;1
1782096203560;109;1
1782096203671;110;1
1782096203783;112;1
1782096203905;121;1
1782096203906;1;1
1782096204016;110;1
1782096204194;177;1
1782096204308;113;1
1782096204427;118;1
1782096204427;1;1
1782096204538;110;1
1782096204648;110;1
1782096204762;113;1
1782096204884;122;1
1782096204886;1;1
1782096205000;113;1
1782096205222;222;1
1782096205331;108;1
1782096205457;125;1
1782096205460;2;1
1782096205574;114;1
1782096205688;114;1
1782096205811;123;1
1782096205934;122;1
1782096205935;0;1
1782096206047;113;1
1782096206259;211;1
1782096206369;109;1
1782096206490;121;1
1782096206493;1;1
1782096206608;115;1
1782096206727;118;1
1782096206846;119;1
1782096206973;127;1
1782096206974;0;1
1782096207086;111;1
1782096207309;222;1
1782096207422;113;1
1782096207542;119;1
1782096207544;2;1
1782096207657;113;1
1782096207771;113;1
1782096207885;113;1
1782096208012;128;1
1782096208016;2;1
1782096208243;227;1
1782096208362;120;1
1782096208529;166;1
1782096208668;138;1
1782096208670;1;1
1782096208798;128;1
1782096208946;148;1
1782096209082;134;1
1782096209316;234;1
1782096209318;1;1
1782096209466;147;1
1782096209627;160;1
1782096209755;128;1
1782096209902;148;1
1782096209904;1;1
1782096210020;114;1
1782096210345;325;1
1782096210567;222;1
1782096210864;297;1
1782096210871;6;1
1782096211208;335;1
1782096211427;219;1
1782096211818;390;1
1782096212180;362;1
1782096212183;3;1
1782096212442;258;1
1782096212692;249;1
1782096212925;233;1
1782096213284;358;1
1782096213286;2;1
1782096213417;130;1
1782096213545;128;1
1782096213681;135;1
1782096213823;142;1
1782096213824;1;1
1782096213952;127;1
1782096214070;118;1
1782096214277;206;1
1782096214409;131;1
1782096214411;2;1
1782096214526;115;1
1782096214643;116;1
1782096214765;121;1
1782096214916;151;1
1782096214918;1;1
1782096215050;131;1
1782096155259;226;1
1782096155496;237;1
1782096155872;376;1
1782096156182;309;1
1782096156343;160;1
1782096156344;1;1
1782096156529;184;1
1782096156741;212;1
1782096156910;168;1
1782096157070;159;1
1782096157071;1;1
1782096157232;160;1
1782096157333;101;1
1782096157425;90;1
1782096157535;111;1
1782096157536;0;1
1782096157631;94;1
1782096157731;100;1
1782096157825;94;1
1782096157934;109;1
1782096157936;1;1
1782096158037;101;1
1782096158145;108;1
1782096158261;115;1
1782096158350;89;1
1782096158351;1;1
1782096158440;87;1
1782096158536;96;1
1782096158632;95;1
1782096158741;109;1
1782096158742;1;1
1782096158855;112;1
1782096158988;133;1
1782096159108;119;1
1782096159231;123;1
1782096159233;1;1
1782096159344;111;1
1782096159458;114;1
1782096159582;123;1
1782096159721;139;1
1782096159723;1;1
1782096159853;129;1
1782096159981;128;1
1782096160107;126;1
1782096160231;123;1
1782096160232;1;1
1782096160349;118;1
1782096160473;123;1
1782096160596;123;1
1782096160722;124;1
1782096160723;1;1
1782096160845;122;1
1782096160969;124;1
1782096161113;144;1
1782096161241;127;1
1782096161243;1;1
1782096161375;133;1
1782096161508;132;1
1782096161640;131;1
1782096161791;151;1
1782096161793;1;1
1782096161923;130;1
1782096162056;133;1
1782096162187;130;1
